symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 02/20/26 P180 Equity,180.0,12.63828,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P185 Equity,185.0,13.53849,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P190 Equity,190.0,12.6066,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P195 Equity,195.0,10.18256,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P200 Equity,200.0,9.830081999999999,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P205 Equity,205.0,8.631266,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P210 Equity,210.0,7.87578,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P215 Equity,215.0,7.136469,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P220 Equity,220.0,7.355422,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P225 Equity,225.0,7.365787,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P230 Equity,230.0,5.719664,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P232.5 Equity,232.5,4.625873,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P235 Equity,235.0,4.278187,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P237.5 Equity,237.5,4.5069479999999995,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P240 Equity,240.0,4.11312,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P242.5 Equity,242.5,3.713722,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P245 Equity,245.0,3.311927,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P247.5 Equity,247.5,2.9077830000000002,0.01,2/20/2026,Put,263.8181,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P250 Equity,250.0,2.186393,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P252.5 Equity,252.5,1.906512,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P255 Equity,255.0,1.681034,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P257.5 Equity,257.5,1.279252,0.01,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P260 Equity,260.0,0.8451835,0.01,2/20/2026,Put,263.81,OTM,2026-02-20,0.0,,
